ID,Snag,System,Rectification
SN0078,Left aileron stiff,Flight Controls,Tested and found serviceable
SN0079,Gear horn sounds after extension,Landing Gear,Replaced control module
SN0080,Windshield heater inoperative,Electrical,Repaired wiring
SN0081,Throttle response delayed,Engine,Replaced control module
SN0082,Cabin door latch sensor fault,Cabin,Replaced damaged component
SN0083,Fuel filter clogged,Fuel System,Replaced actuator
SN0084,Compressor cycle too frequent,Air Conditioning,Replaced actuator
SN0085,Heading bug not locking,Navigation,Replaced control module
SN0086,Mic switch stuck,Cockpit Systems,Flushed and refilled system
SN0087,Anti-skid test fails,Braking System,Cleaned components
SN0088,Manual override not engaging,Spoilers,Tested and found serviceable
SN0089,Display refresh rate low,Display Systems,Replaced control module
SN0090,Flap retraction asymmetrical,Flap System,Cleared obstruction
SN0091,Pressure switch faulty,Hydraulic System,Cleaned components
SN0092,Standby radio volume stuck,Avionics,Replaced damaged component
SN0093,Elevator trim tabs noisy,Flight Controls,Replaced faulty unit
SN0094,Gear uplock fails to release,Landing Gear,Replaced sensor
SN0095,Cabin power failure on ground,Electrical,Replaced control module
SN0096,Bleed air leak,Engine,Checked and calibrated system
SN0097,Oxygen mask compartment jammed,Cabin,Flushed and refilled system
SN0098,Fuel temp sensor fault,Fuel System,Checked and calibrated system
SN0099,Cooling duct insulation loose,Air Conditioning,Replaced sensor
SN0100,INS drift excessive,Navigation,Replaced control module
SN0101,PFD/ND mismatch,Cockpit Systems,Cleaned components
SN0102,Toe brakes uneven response,Braking System,Flushed and refilled system
SN0103,Speedbrake lever not stowing,Spoilers,Lubricated moving parts
SN0104,Display shows ghosting,Display Systems,Checked and calibrated system
SN0105,Flap extension interrupted,Flap System,Tested and found serviceable
